Date,^GSPC_Signal,^RUA_Signal,capital,Portfolio,Spread,Half_Life
2002-01-02,0.0,0.0,1000.0,1000.0,,
2002-01-03,0.0,0.0,1000.0,1000.0,,
2002-01-04,0.0,0.0,1000.0,1000.0,,
2002-01-07,0.0,0.0,1000.0,1000.0,,
2002-01-08,0.0,0.0,1000.0,1000.0,,
2002-01-09,0.0,0.0,1000.0,1000.0,,
2002-01-10,0.0,0.0,1000.0,1000.0,,
2002-01-11,0.0,0.0,1000.0,1000.0,,
2002-01-14,0.0,0.0,1000.0,1000.0,,
2002-01-15,0.0,0.0,1000.0,1000.0,,
2002-01-16,0.0,0.0,1000.0,1000.0,,
2002-01-17,0.0,0.0,1000.0,1000.0,,
2002-01-18,0.0,0.0,1000.0,1000.0,,
2002-01-22,0.0,0.0,1000.0,1000.0,,
2002-01-23,0.0,0.0,1000.0,1000.0,,
2002-01-24,0.0,0.0,1000.0,1000.0,,
2002-01-25,0.0,0.0,1000.0,1000.0,,
2002-01-28,0.0,0.0,1000.0,1000.0,,
2002-01-29,0.0,0.0,1000.0,1000.0,,
2002-01-30,0.0,0.0,1000.0,1000.0,,
2002-01-31,0.0,0.0,1000.0,1000.0,,
2002-02-01,0.0,0.0,1000.0,1000.0,,
2002-02-04,0.0,0.0,1000.0,1000.0,,
2002-02-05,0.0,0.0,1000.0,1000.0,,
2002-02-06,0.0,0.0,1000.0,1000.0,,
2002-02-07,0.0,0.0,1000.0,1000.0,,
2002-02-08,0.0,0.0,1000.0,1000.0,,
2002-02-11,0.0,0.0,1000.0,1000.0,,
2002-02-12,0.0,0.0,1000.0,1000.0,,
2002-02-13,0.0,0.0,1000.0,1000.0,0.0023971728736869036,1.7987947858636046
2002-02-14,0.0,0.0,1000.0,1000.0,0.002137049668941682,1.7763893819743004
2002-02-15,0.0,0.0,1000.0,1000.0,0.0013341195584898324,1.8570463815901412
2002-02-19,0.0,0.0,1000.0,1000.0,0.0021606322497680353,1.7537035989906
2002-02-20,0.0,0.0,1000.0,1000.0,0.0010236842326056816,1.910121623635851
2002-02-21,0.0,0.0,1000.0,1000.0,0.0011199978885109152,1.912034889931691
2002-02-22,0.0,0.0,1000.0,1000.0,0.0015068911720304001,1.902916238335317
2002-02-25,0.0,0.0,1000.0,1000.0,0.0018766736454955968,2.0114130608630765
2002-02-26,-0.902613137994166,1.6301512716608584,1001.3409675410334,1000.0,0.002776194144123445,1.980093389479495
2002-02-27,0.0,0.0,1001.3409675410334,1000.159123744464,0.002760057974175334,1.82389984175072
2002-02-28,0.0,0.0,1001.3409675410334,999.865232797784,0.0027308009878362904,1.808995386028486
2002-03-01,0.0,0.0,1001.3409675410334,1000.0278951276714,0.002363952747107989,1.7770301818316394
2002-03-04,0.0,0.0,1001.3409675410334,1000.8192472060861,0.002202807038951482,1.5595617799706716
2002-03-05,0.0,0.0,1001.3409675410334,1002.1615996907061,0.0019025939415950877,1.2363993370669548
2002-03-06,0.0,0.0,1001.3409675410334,1001.8714524393273,0.0009122714865590353,1.3166486768091925
2002-03-07,0.0,0.0,1001.3409675410334,1002.0439163775537,0.0005947557228707101,1.2966148765442207
2002-03-08,0.902613137994166,-1.6301512716608584,1002.7472276334935,1002.7472276334935,-0.00016100597107837622,1.3842486630902657
2002-03-11,0.0,0.0,1002.7472276334935,1002.7472276334935,-0.00017081446272926293,1.4039219208282854
2002-03-12,0.8579420011920658,-1.551948735713372,1004.9025890239487,1002.7472276334935,-0.002755492371111279,1.647254285505406
2002-03-13,0.0,0.0,1004.9025890239487,1002.2942880777679,-0.0023860560925190732,1.8117172156575951
2002-03-14,0.0,0.0,1004.9025890239487,1001.7970334866652,-0.0013503861178878473,2.8733917336147314
2002-03-15,0.0,0.0,1004.9025890239487,1002.3447441086237,-0.0008628749725489993,2.6454848055692537
2002-03-18,0.0,0.0,1004.9025890239487,1001.3092427359177,-0.002885933353721226,3.463289696464756
2002-03-19,0.0,0.0,1004.9025890239487,1001.5891204471358,-0.0037673483243860773,2.940414863823156
