Date,fedfunds,vix,vol_spread,Flat,News Sentiment
2001-02-02,5.5,21.95,-32.94,-0.07000000000000028,0.164101345
2001-02-05,5.51016502006133,22.071980240735964,-33.30594072220788,-0.09033004012266019,0.14472404628688695
2001-02-06,5.499776362668832,22.040302781017964,-32.75286408172296,-0.0798845507812161,0.14427837773166433
2001-02-07,5.499835069789477,21.94309445749308,-32.749487126749685,-0.06941444222484253,0.14610119474923505
2001-02-08,5.499870268495355,21.839994487713806,-32.84563367303447,-0.06527109432337867,0.14766634563555342
2001-02-09,5.489050771157728,21.874331466417594,-33.02171696354612,-0.05708989693086485,0.14831319097582552
2001-02-12,5.487626325245394,21.881518959599127,-33.35352682825101,-0.05282638255443716,0.1459915872986624
2001-02-13,5.483761200465042,21.809953719242163,-33.87069043684258,-0.04683465868259955,0.1472564153526481
2001-02-14,5.4858127144022,21.773322680422112,-34.13590479692843,-0.04218118565368937,0.1473081352205769
2001-02-15,5.495535774887005,21.5996991071458,-34.226462474743734,-0.04192927350461819,0.14693005671384438
2001-02-16,5.4917462584930465,21.655183721440313,-34.11913384436849,-0.033192378753397055,0.14582755194387498
2001-02-20,5.499514980580909,21.956468283709544,-34.03185691187414,-0.036846493875225,0.1461389358362816
2001-02-21,5.499560115992662,22.309490470601222,-34.012141724040916,-0.03062582743067264,0.147614597480642
2001-02-22,5.501353564328957,22.699989697910752,-34.03125717315142,-0.024428934500190666,0.1472138882667573
2001-02-23,5.497915151627666,23.074982203570006,-34.09683854196197,-0.018240413682656043,0.14679220065646847
2001-02-26,5.502036948820419,23.261349372632655,-34.27435382499666,-0.023919194953584667,0.14486533477439642
2001-02-27,5.501126862284176,23.505460360395066,-34.463800077737204,-0.030427570362539413,0.14296123618948384
2001-02-28,5.507568471714302,23.856597194641722,-34.52440864229518,-0.04561757910695726,0.1414748353453794
2001-03-01,5.513313320116747,24.150936137080656,-34.64397226649971,-0.059861473992485335,0.14037688523906042
2001-03-02,5.513762606374263,24.37126047693996,-34.886937623870665,-0.06255843099461511,0.13800294126584642
2001-03-05,5.514167640529611,24.54975384416965,-35.02869792931932,-0.06498975330437474,0.13487006112932742
2001-03-06,5.506358194448806,24.63404778777944,-35.04639024709253,-0.0590154321890227,0.1317370808778437
2001-03-07,5.496204148428364,24.60267172655737,-35.046610576468346,-0.054192547825370745,0.129721693039843
2001-03-08,5.494055725272095,24.584117190494315,-35.03256965398929,-0.057504268380863394,0.1277153097422652
