,flagy,flagx,returns,divergent,cummret,results
2001-12-04,-0.11031407340265487,0.11498959866682379,0.0,0.0,1.0,NONE
2001-12-05,-0.1354812295351121,-0.016998807702515717,0.0,0.0,1.0,NONE
2001-12-06,-0.03181157219242747,-0.19222701327209285,0.0,0.0,1.0,NONE
2001-12-07,-0.2952898660351826,-0.057084381458720024,0.0,0.0,1.0,NONE
2001-12-10,-0.11681121570196396,-0.2793706674079738,0.0,0.0,1.0,NONE
2001-12-11,-0.09174829177662847,-0.34701221405380867,0.0,0.0,1.0,NONE
2001-12-12,0.40825170822337153,-0.07708701113940408,0.0,0.0,1.0,NONE
2001-12-13,0.39103727113296116,-0.0033723886652086144,0.0,0.0,1.0,NONE
2001-12-14,0.4971621555191593,-0.12364064910993999,0.0,0.0,1.0,NONE
2001-12-17,0.6969900934088349,0.32577615510797797,0.0,0.0,1.0,NONE
2001-12-18,0.611563823927618,0.33516108121440324,0.0,0.0,1.0,NONE
2001-12-19,0.4386304385997353,0.2591281066366691,0.0,0.0,1.0,NONE
2001-12-20,0.3702671905238005,0.4165386887777043,0.0,0.0,1.0,NONE
2001-12-21,0.03886081212955539,0.6073452270581294,0.0,0.0,1.0,NONE
2001-12-24,0.29678445887450844,0.20154745965888382,0.0,0.0,1.0,NONE
2001-12-26,0.3470705317796752,-0.0827417264190527,0.0,0.0,1.0,NONE
2001-12-27,0.4154587998652286,-0.06012280645580509,0.0,0.0,1.0,NONE
2001-12-28,0.34709555178929385,0.09728777568523012,0.0,0.0,1.0,NONE
2001-12-31,0.47951398652356747,-0.03956395703207627,0.0,0.0,1.0,NONE
2002-01-02,0.5137619590243974,0.36510316352007777,0.0,0.0,1.0,NONE
2002-01-03,0.1469255020204141,0.6197073930373924,0.0,0.0,1.0,NONE
2002-01-04,0.055352191832475695,0.8446492791830922,0.0,0.0,1.0,NONE
2002-01-07,-0.08735830753628776,0.7695887976779873,0.0,0.0,1.0,NONE
2002-01-08,-0.26367419913981033,0.7651995042618087,0.0,0.0,1.0,NONE
2002-01-09,-0.18424956811451504,0.6619880063979042,0.0,0.0,1.0,NONE
2002-01-10,-0.3269600674832785,0.5869275248927993,0.0,0.0,1.0,NONE
2002-01-11,-0.33136750028254924,0.34465361395135724,0.0,0.0,1.0,NONE
2002-01-14,-0.5073689291351009,0.4119082036396106,0.0,0.0,1.0,NONE
2002-01-15,-0.5621291462516164,0.30286840711839425,0.0,0.0,1.0,NONE
2002-01-16,-0.4560042618654182,0.18260014667366287,0.0,0.0,1.0,NONE
2002-01-17,-0.3492624637217083,0.2423231803549346,0.0,0.0,1.0,NONE
2002-01-18,-0.08305413629015523,0.14348882408577168,0.0,0.0,1.0,NONE
2002-01-22,-0.4273595378004276,0.35683451338182415,0.0,0.0,1.0,NONE
2002-01-23,-0.6921471675589703,0.5452365426172752,0.0,0.0,1.0,NONE
2002-01-24,-0.6670842436336348,0.4775949959714403,0.0,0.0,1.0,NONE
2002-01-25,-0.8866204623858748,0.5932885388838847,0.0,0.0,1.0,NONE
2002-01-28,-0.7035483549974264,0.7239724552712385,0.0,0.0,1.0,NONE
2002-01-29,-0.8523640048605561,0.9269982277412595,0.0,0.0,1.0,NONE
2002-01-30,-0.5612468684955074,0.6773992825926887,0.0,0.0,1.0,NONE
2002-01-31,-0.5637042372915196,0.6282811839951681,0.0,0.0,1.0,NONE
2002-02-01,0.24042164481673645,-0.04459923495301982,0.0,0.0,1.0,NONE
2002-02-04,0.02532012526734917,-0.25970075450240715,0.0,0.0,1.0,NONE
2002-02-05,-0.011943757966522583,-0.22798679823405832,0.0,0.0,1.0,NONE
2002-02-06,0.4880562420334774,0.2720132017659417,0.0,0.0,1.0,NONE
2002-02-07,0.7625784252003239,0.1390011703010322,0.0,0.0,1.0,NONE
2002-02-08,0.6383757567854615,-0.13373035157889235,0.0,0.0,1.0,NONE
2002-02-11,0.8452649154817893,-0.007570637278513037,0.0,0.0,1.0,NONE
2002-02-12,0.906491004215651,-0.367951279515782,0.0,0.0,1.0,NONE
2002-02-13,1.0715612606264497,-0.2780305631222504,0.0,1.0,1.0,WIN
2002-02-14,0.9696348860342106,-0.3799569377144896,0.009914131603759788,1.0,1.0099141316037599,NONE
2002-02-15,0.49507508803242056,-0.1104404820321011,-0.004405442241763162,0.0,1.005465013227839,NONE
2002-02-19,0.01187098663451247,0.21414309303684098,0.0,0.0,1.005465013227839,NONE
2002-02-20,0.4989193150848845,0.002317797389641163,0.0,0.0,1.005465013227839,NONE
2002-02-21,0.7479479699711703,0.12466739158731016,0.0,0.0,1.005465013227839,NONE
2002-02-22,0.8132359694739103,0.08678778020480354,0.0,0.0,1.005465013227839,NONE
2002-02-25,0.8745765851185786,-0.061548894958663336,0.0,0.0,1.005465013227839,NONE
2002-02-26,1.1281518052387662,-0.18238689485198734,0.0,1.0,1.005465013227839,WIN
2002-02-27,1.1356240963864814,0.09235257149182574,0.0022436519959884273,1.0,1.0077209268116645,NONE
2002-02-28,1.2833532055566566,0.09888021708761685,0.0004938986853376829,1.0,1.0082186388526042,NONE
2002-03-01,1.114316393899838,0.013517971375985427,-0.008031335932954724,1.0,1.0001212962701127,NONE
2002-03-04,0.7790910864456543,0.019610146860233324,-0.002569160384098959,1.0,0.9975518242564418,NONE
2002-03-05,0.9855168780705886,-0.17103146581352563,0.0024721751467752366,1.0,1.000017947083989,NONE
2002-03-06,0.5383609993401856,-0.024387807615937118,0.002171617312366525,1.0,1.0021896033705537,NONE
