,returns,divergent,cummret,results
2002-10-21,0.0,0.0,1.0,NONE
2002-10-22,0.0,0.0,1.0,NONE
2002-10-23,0.0,-1.0,1.0,WIN
2002-10-24,0.0027071294813340308,0.0,1.0027071294813341,NONE
2002-10-25,0.0,0.0,1.0027071294813341,NONE
2002-10-28,0.0,0.0,1.0027071294813341,NONE
2002-10-29,0.0,0.0,1.0027071294813341,NONE
2002-10-30,0.0,-1.0,1.0027071294813341,WIN
2002-10-31,0.0,1.0,1.0027071294813341,NONE
2002-11-01,0.0009509568849235591,1.0,1.0036606607296763,NONE
2002-11-04,-0.0038862568799190003,1.0,0.9997601775818116,NONE
2002-11-05,-0.0003996470807738394,1.0,0.999360626345367,NONE
2002-11-06,-5.4060962565670705e-05,1.0,0.9993065999479566,NONE
2002-11-07,-0.0006689034412585954,1.0,0.9986381603243789,NONE
2002-11-08,0.0001420588778226282,1.0,0.9987800257407855,NONE
2002-11-12,0.0021443361698323263,1.0,1.0009217458756876,NONE
2002-11-13,-0.0011589875754242926,1.0,0.9997616900082457,NONE
2002-11-14,0.0011832553534480259,1.0,1.0009446633801202,NONE
2002-11-15,-0.001342250197519562,1.0,0.9996011452079921,NONE
2002-11-18,-0.0011279677164463438,1.0,0.9984736273868747,NONE
2002-11-19,0.0006928345942372374,1.0,0.9991654044573619,NONE
2002-11-20,0.0017197959810734088,1.0,1.0008837651043752,NONE
2002-11-21,-0.0017887926665162038,1.0,0.9990933915653213,NONE
2002-11-22,-0.0003605612406466603,1.0,0.9987331572125366,NONE
2002-11-25,0.00043397480126163446,1.0,0.9991665822359513,NONE
2002-11-26,0.0005789647099197449,1.0,0.999745064426397,NONE
2002-11-27,0.0008916279417826162,1.0,1.0006364650604989,NONE
2002-11-29,-0.0023260078365431366,1.0,0.9983089768012373,NONE
2002-12-02,-0.0016112824251186156,1.0,0.9967004190920793,NONE
2002-12-03,0.0019379345505986688,1.0,0.9986319592708341,NONE
2002-12-04,-0.0005483727821634409,1.0,0.9980843366849714,NONE
2002-12-05,0.0013908853617022134,1.0,0.9994725575786108,NONE
2002-12-06,0.003389271084577433,1.0,1.0028600410178408,NONE
2002-12-09,-0.0022356591699407404,1.0,1.000617987770972,NONE
