,returns,cumret
2002-10-21,0.0,1.0
2002-10-22,0.0,1.0
2002-10-23,0.0026047932755987246,1.0026047932755988
2002-10-24,0.0027132979642764824,1.0053251588201675
2002-10-25,0.0,1.0053251588201675
2002-10-28,0.0,1.0053251588201675
2002-10-29,0.0,1.0053251588201675
2002-10-30,0.0005180755663806939,1.00584599322122
2002-10-31,0.0,1.00584599322122
2002-11-01,-0.0001478802869608782,1.005697248427104
2002-11-04,0.004658307506532474,1.0103820954687512
2002-11-05,0.0004474814749210387,1.0108342227390654
2002-11-06,0.0001582301379662648,1.0109941671775906
2002-11-07,0.0010302645106891055,1.0120357585885476
2002-11-08,-0.00043942751844452954,1.011591042226574
2002-11-12,-0.0022208383268996785,1.0093444620688488
2002-11-13,0.0015209020895301986,1.010879576170265
2002-11-14,-0.0009301448478214151,1.0099393117407223
2002-11-15,0.0011488636660401163,1.0110995943208867
2002-11-18,0.0016488179931105624,1.0127667135248297
2002-11-19,-0.0008166260632343741,1.0119396618305891
2002-11-20,-0.0013999819532208588,1.0105229645662779
2002-11-21,0.0025312531418453365,1.0130808539952432
2002-11-22,0.0004731984917084914,1.0135602423273324
2002-11-25,-0.0001768831208538357,1.0133809606284963
2002-11-26,-0.0003781129057061818,1.0129977882088856
2002-11-27,-0.0007145181804045983,1.0122739828725007
2002-11-29,0.002423717344892597,1.0147274488825724
2002-12-02,0.0016764149198633077,1.016428553117474
2002-12-03,-0.002140878104758155,1.0142525034830536
2002-12-04,0.0007061701120161046,1.014968738287051
2002-12-05,-0.0012742139146289817,1.013675450997812
2002-12-06,-0.0032041167062601713,1.010427516550544
2002-12-09,0.002653561501155837,1.013108748108171
2002-12-10,-0.0011650467024750524,1.011928429101939
2002-12-11,-0.002400058929544197,1.0094997412396134
2002-12-12,-0.0011654323535535676,1.0083232375802686
2002-12-13,0.003344742181480584,1.0116958188455705
2002-12-16,0.0013572399789119195,1.0130689328574056
2002-12-17,0.0013483754784124023,1.014434930164412
2002-12-18,0.0026714005084897486,1.0171448921526831
2002-12-19,0.000226832972762645,1.0173756141523005
2002-12-20,-0.002399243719381535,1.0149346820997938
2002-12-23,-0.001620905167092109,1.0132895692293171
2002-12-24,-0.0004321230060153479,1.0128517034946978
2002-12-26,-0.00032565476362739817,1.0125218635126065
2002-12-27,-0.0005741220825103454,1.0119405523517393
2002-12-30,-0.0006978903330258652,1.0112343288226562
2002-12-31,-2.083397712578268e-05,1.0112132607897806
2003-01-02,-0.0003716277172861257,1.0108374659139838
2003-01-03,-0.0019208154572121594,1.0088958336847271
2003-01-06,-0.002509224224726349,1.0063642878186199
2003-01-07,-0.0005884806397332756,1.0057720619187196
2003-01-08,0.000823936666067995,1.0066007543982414
2003-01-09,-0.0033207111175162897,1.003258124082211
2003-01-10,0.0030379444514207193,1.0063059665336094
2003-01-13,-0.002083617848209909,1.0042092094609798
2003-01-14,-0.003278759014544357,1.000916649462971
2003-01-15,0.0003475932705427065,1.0012645613546987
2003-01-16,0.00181172067475786,1.0030785730614074
2003-01-17,0.0003955101970610302,1.0034753008655064
2003-01-21,0.0,1.0034753008655064
2003-01-22,0.0,1.0034753008655064
2003-01-23,0.0,1.0034753008655064
2003-01-24,0.0,1.0034753008655064
2003-01-27,-0.0004591685652244482,1.0030145365513699
2003-01-28,0.002418577930694015,1.0054404053736383
2003-01-29,0.0,1.0054404053736383
2003-01-30,-0.0006258952567237068,1.0048111049929966
2003-01-31,0.00024939411629046457,1.0050616989705652
2003-02-03,-0.0009964325454378618,1.0040602227835378
2003-02-04,0.0,1.0040602227835378
2003-02-05,0.0,1.0040602227835378
2003-02-06,-0.0008941893343945902,1.003162402841235
2003-02-07,0.0,1.003162402841235
2003-02-10,0.0,1.003162402841235
2003-02-11,0.0022270293597838556,1.0053964749649937
2003-02-12,0.0024749361551794215,1.0078847670511746
2003-02-13,0.0,1.0078847670511746
2003-02-14,0.0010558531031512586,1.0089489453100844
2003-02-18,0.0,1.0089489453100844
2003-02-19,-0.0007038955494120596,1.0082387506378967
2003-02-20,-0.0005571629486686115,1.0076769973626294
2003-02-21,-8.626966074605676e-05,1.0075900654099252
2003-02-24,0.0019004370589348844,1.0095049269104448
2003-02-25,-0.00048732677864690775,1.0090129681263853
2003-02-26,0.00012846186864981513,1.009142587817763
2003-02-27,-0.0009914854303933267,1.0081420376447523
2003-02-28,0.0003558931922882126,1.0085008285328096
2003-03-03,0.0019856025620292096,1.0105033103617531
2003-03-04,-0.004472116372398662,1.0059842219631212
2003-03-05,-0.005584865135850107,1.0003659357546641
2003-03-06,-0.0006641080250124581,0.9997015847087803
2003-03-07,0.0007069032369235936,1.0004082769949687
2003-03-10,-0.0006864551671985483,0.9997215415639173
2003-03-11,-0.002448366615808136,0.997273856716448
2003-03-12,0.0005494987878390603,0.9978218574918574
2003-03-13,0.0036488261058277077,1.001462735934439
2003-03-14,0.004017780140911502,1.0054863930267395
2003-03-17,0.0005156776089744151,1.0060048998457518
2003-03-18,0.0024190813294200355,1.0084385075162738
2003-03-19,-0.0008068414721328979,1.0076248575063138
2003-03-20,-0.006020999350894873,1.0015579488933228
2003-03-21,0.006851366239123781,1.0084199892108967
2003-03-24,-0.0006369172079369271,1.0077777091669406
2003-03-25,0.0,1.0077777091669406
2003-03-26,0.0,1.0077777091669406
2003-03-27,0.0,1.0077777091669406
2003-03-28,0.0,1.0077777091669406
2003-03-31,0.0,1.0077777091669406
2003-04-01,0.0,1.0077777091669406
2003-04-02,0.0,1.0077777091669406
2003-04-03,0.0,1.0077777091669406
