,returns,cummret
2002-10-21,0.0,1.0
2002-10-22,0.0,1.0
2002-10-23,0.0,1.0
2002-10-24,0.0027071294813340308,1.0027071294813341
2002-10-25,0.0,1.0027071294813341
2002-10-28,0.0,1.0027071294813341
2002-10-29,0.0,1.0027071294813341
2002-10-30,0.0,1.0027071294813341
2002-10-31,0.0,1.0027071294813341
2002-11-01,0.0009509568849235591,1.0036606607296763
2002-11-04,-0.0038862568799190003,0.9997601775818116
2002-11-05,-0.0003996470807738394,0.999360626345367
2002-11-06,-5.4060962565670705e-05,0.9993065999479566
2002-11-07,-0.0006689034412585954,0.9986381603243789
2002-11-08,0.0001420588778226282,0.9987800257407855
2002-11-12,0.0021443361698323263,1.0009217458756876
2002-11-13,-0.0011589875754242926,0.9997616900082457
2002-11-14,0.0011832553534480259,1.0009446633801202
2002-11-15,-0.001342250197519562,0.9996011452079921
2002-11-18,-0.0011279677164463438,0.9984736273868747
2002-11-19,0.0006928345942372374,0.9991654044573619
2002-11-20,0.0017197959810734088,1.0008837651043752
2002-11-21,-0.0017887926665162038,0.9990933915653213
2002-11-22,-0.0003605612406466603,0.9987331572125366
2002-11-25,0.00043397480126163446,0.9991665822359513
2002-11-26,0.0005789647099197449,0.999745064426397
2002-11-27,0.0008916279417826162,1.0006364650604989
2002-11-29,-0.0023260078365431366,0.9983089768012373
2002-12-02,-0.0016112824251186156,0.9967004190920793
2002-12-03,0.0019379345505986688,0.9986319592708341
2002-12-04,-0.0005483727821634409,0.9980843366849714
2002-12-05,0.0013908853617022134,0.9994725575786108
2002-12-06,0.003389271084577433,1.0028600410178408
2002-12-09,-0.0022356591699407404,1.000617987770972
2002-12-10,0.0013789221401599612,1.0019977620681517
2002-12-11,0.002872326103857855,1.0048758263961473
2002-12-12,0.0022276071042033295,1.0071142949258696
2002-12-13,-0.0025700720582514094,1.004525938617015
2002-12-16,-0.0009300209387285668,1.0035917084606052
2002-12-17,-0.0011550896434825344,1.0024324700718774
2002-12-18,-0.0028879368706705823,0.9995375083811995
2002-12-19,-4.682395099966149e-05,0.9994907060858848
2002-12-20,0.00222827909528897,1.0017178503321915
2002-12-23,0.0019433699108956093,1.003664558661734
2002-12-24,0.0007922861574121073,1.004459748198247
2002-12-26,0.0006623094794172709,1.0051250114111718
2002-12-27,0.0009912431273524877,1.0061213346708633
2002-12-30,0.0008472595915052505,1.0069737806218813
2002-12-31,0.0005177276343755052,1.0074951187752008
2003-01-02,0.0011079493023399382,1.0086113722891588
2003-01-03,0.0013108011934621685,1.0099334612796949
2003-01-06,0.002478342596665373,1.012436422396582
2003-01-07,-0.0,1.012436422396582
2003-01-08,0.0,1.012436422396582
2003-01-09,0.0,1.012436422396582
2003-01-10,0.0,1.012436422396582
2003-01-13,0.0022335886234223397,1.0146977888715856
2003-01-14,0.0036835491741383985,1.0184354780737837
2003-01-15,-0.0005677741822470838,1.017857236703049
2003-01-16,-0.0010311065955950563,1.0168077173929102
2003-01-17,0.0,1.0168077173929102
2003-01-21,0.0,1.0168077173929102
2003-01-22,0.0,1.0168077173929102
2003-01-23,0.0,1.0168077173929102
2003-01-24,0.0,1.0168077173929102
2003-01-27,-0.000509994602565741,1.0162891509451926
2003-01-28,0.0018688111215169941,1.018188403413156
2003-01-29,0.0,1.018188403413156
2003-01-30,-0.0008324051081796445,1.0173408581850658
2003-01-31,0.0004815975577902793,1.0178308070578082
2003-02-03,-0.0013026195237985944,1.016504960776611
2003-02-04,0.0011376238075576919,1.017661361020491
2003-02-05,-0.0011360086700064028,1.0165052888912411
2003-02-06,-0.000938173663124809,1.0155516304007763
2003-02-07,0.0,1.0155516304007763
2003-02-10,0.0,1.0155516304007763
2003-02-11,0.0018124421829997135,1.0173922590147289
2003-02-12,0.0,1.0173922590147289
2003-02-13,0.0,1.0173922590147289
2003-02-14,0.00037467813863011675,1.017773453652593
2003-02-18,0.003341242292600497,1.0211740813602233
2003-02-19,-0.000495263882846981,1.020668330719626
2003-02-20,-0.0007090464671414059,1.019944629445606
2003-02-21,0.00016528274087734395,1.020113208689504
2003-02-24,0.0010951904525195993,1.0212304269361498
2003-02-25,0.00029967496460079355,1.0215364641281912
2003-02-26,0.00014068484095180155,1.0216801788231735
2003-02-27,-0.0009690246283901225,1.0206901455675559
2003-02-28,0.0007071867856802729,1.0214119641507753
2003-03-03,0.001028262825912557,1.0224622441034539
2003-03-04,-0.003368234441319619,1.0190183515579156
2003-03-05,-0.004948693140407263,1.013975542431612
2003-03-06,0.0005041066361072244,1.014486694231402
2003-03-07,0.0010650158231071197,1.01556713861309
2003-03-10,-0.00045299833959517276,1.0151070883855509
2003-03-11,-0.0025305188564976825,1.0125383407570268
2003-03-12,-0.0009493703731117339,1.0115770668546724
2003-03-13,0.004428078470871456,1.016056409486039
2003-03-14,0.003511954531766405,1.0196247533978637
2003-03-17,0.0007464695523540209,1.0203858722311017
2003-03-18,0.0005459067552134999,1.0209429077716772
2003-03-19,-0.0012299393199257137,1.0196872099460095
2003-03-20,-0.0056021748505327845,1.01397474390304
2003-03-21,0.005154596759672558,1.0192013748323523
2003-03-24,-0.0013819688217731104,1.0177928703092256
2003-03-25,0.0,1.0177928703092256
2003-03-26,0.0,1.0177928703092256
2003-03-27,0.0,1.0177928703092256
2003-03-28,0.0,1.0177928703092256
2003-03-31,0.0,1.0177928703092256
2003-04-01,0.0,1.0177928703092256
2003-04-02,0.0,1.0177928703092256
2003-04-03,0.0,1.0177928703092256
2003-04-04,0.0,1.0177928703092256
2003-04-07,0.0,1.0177928703092256
