Date,SPY,QQQ,IWV
1993-11-10,27.173347,,
1993-11-11,27.100311,,
1993-11-12,27.228127,,
1993-11-15,27.209888,,
1993-11-16,27.337688,,
1993-11-17,27.191608,,
1993-11-18,27.118544,,
1993-11-19,27.063772,,
1993-11-22,26.899424,,
1993-11-23,27.045509,,
1993-11-24,27.155079,,
1993-11-26,27.173347,,
1993-11-29,27.063772,,
1993-11-30,27.082041,,
1993-12-01,27.118544,,
1993-12-02,27.191608,,
1993-12-03,27.301167,,
1993-12-06,27.392487,,
1993-12-07,27.374205,,
1993-12-08,27.374205,,
1993-12-09,27.282915,,
1993-12-10,27.228127,,
1993-12-13,27.392487,,
1993-12-14,27.191608,,
1993-12-15,27.155079,,
1993-12-16,27.246378,,
1993-12-17,27.39613,,
1993-12-20,27.432905,,
1993-12-21,27.340971,,
1993-12-22,27.524837,,
1993-12-23,27.506458,,
1993-12-27,27.65354,,
1993-12-28,27.708715,,
1993-12-29,27.671932,,
1993-12-30,27.561613,,
1993-12-31,27.41452,,
1994-01-03,27.340971,,
1994-01-04,27.451283,,
1994-01-05,27.506458,,
1994-01-06,27.506458,,
1994-01-07,27.671932,,
1994-01-10,28.002872,,
1994-01-11,27.947733,,
1994-01-12,27.855803,,
1994-01-13,27.782238,,
1994-01-14,27.892569,,
1994-01-17,27.892569,,
1994-01-18,27.929344,,
1994-01-19,27.855803,,
1994-01-20,27.929344,,
1994-01-21,27.874197,,
1994-01-24,27.763865,,
1994-01-25,27.763865,,
1994-01-26,27.837429,,
1994-01-27,28.094822,,
1994-01-28,28.168365,,
1994-01-31,28.370615,,
1994-02-01,28.223543,,
1994-02-02,28.407391,,
1994-02-03,28.278692,,
1994-02-04,27.635162,,
1994-02-07,27.763865,,
1994-02-08,27.782238,,
1994-02-09,27.892569,,
1994-02-10,27.65354,,
1994-02-11,27.745474,,
1994-02-14,27.782238,,
1994-02-15,27.929344,,
1994-02-16,27.910975,,
1994-02-17,27.745474,,
1994-02-18,27.580009,,
1994-02-22,27.855803,,
1994-02-23,27.782238,,
1994-02-24,27.41452,,
1994-02-25,27.543232,,
1994-02-28,27.543232,,
1994-03-01,27.432905,,
1994-03-02,27.469673,,
1994-03-03,27.39613,,
1994-03-04,27.469673,,
1994-03-07,27.616772,,
1994-03-08,27.506458,,
1994-03-09,27.635162,,
1994-03-10,27.41452,,
1994-03-11,27.561613,,
1994-03-14,27.598389,,
1994-03-15,27.580009,,
1994-03-16,27.800625,,
1994-03-17,27.800625,,
1994-03-18,27.794571,,
1994-03-21,27.720615,,
1994-03-22,27.794571,,
1994-03-23,27.776079,,
1994-03-24,27.443214,,
1994-03-25,27.184298,,
1994-03-28,27.221294,,
1994-03-29,26.685015,,
1994-03-30,26.315159,,
1994-03-31,26.389135,,
1994-04-04,25.982275,,
1994-04-05,26.518579,,
1994-04-06,26.518579,,
1994-04-07,26.648014,,
1994-04-08,26.444611,,
1994-04-11,26.555563,,
1994-04-12,26.518579,,
1994-04-13,26.379881,,
1994-04-14,26.389135,,
1994-04-15,26.389135,,
1994-04-18,26.21344,,
1994-04-19,26.250437,,
1994-04-20,26.222687,,
1994-04-21,26.574043,,
1994-04-22,26.546303,,
1994-04-25,26.823704,,
1994-04-26,26.795967,,
1994-04-28,26.601789,,
1994-04-29,26.685015,,
1994-05-02,26.851433,,
1994-05-03,26.823704,,
1994-05-04,26.777477,,
1994-05-05,26.740482,,
1994-05-06,26.48159,,
1994-05-09,26.250437,,
1994-05-10,26.453856,,
1994-05-11,26.21344,,
1994-05-12,26.342896,,
1994-05-13,26.342896,,
1994-05-16,26.352135,,
1994-05-17,26.740482,,
1994-05-18,26.934654,,
1994-05-19,27.064119,,
1994-05-20,26.962389,,
1994-05-23,26.916168,,
1994-05-24,27.027115,,
1994-05-25,27.101082,,
1994-05-26,27.119595,,
1994-05-27,27.147324,,
1994-05-31,27.11034,,
1994-06-01,27.230555,,
1994-06-02,27.202803,,
1994-06-03,27.359987,,
1994-06-06,27.350756,,
1994-06-07,27.313763,,
1994-06-08,27.091854,,
1994-06-09,27.239782,,
1994-06-10,27.286036,,
1994-06-13,27.323011,,
1994-06-14,27.535666,,
1994-06-15,27.424717,,
1994-06-16,27.480207,,
1994-06-17,27.326805,,
1994-06-20,27.094103,,
1994-06-21,26.861427,,
1994-06-22,26.963816,,
1994-06-23,26.805588,,
1994-06-24,26.247147,,
1994-06-27,26.703205,,
1994-06-28,26.572905,,
1994-06-29,26.656675,,
1994-06-30,26.489143,,
1994-07-01,26.544985,,
1994-07-05,26.684587,,
1994-07-06,26.647379,,
1994-07-07,26.75906,,
1994-07-08,26.749731,,
1994-07-11,26.656675,,
1994-07-12,26.693903,,
1994-07-13,26.740429,,
1994-07-14,27.028954,,
1994-07-15,27.038273,,
1994-07-18,27.084826,,
1994-07-19,27.028954,,
1994-07-20,26.907982,,
1994-07-21,26.963816,,
