Date,^DJI,^GSPC,^IXIC,^RUA
1992-01-02,3172.39990234375,417.260009765625,586.4500122070312,232.2899932861328
1992-01-03,3201.5,419.3399963378906,592.6500244140625,235.5800018310547
1992-01-06,3200.10009765625,417.9599914550781,597.9000244140625,235.35000610351562
1992-01-07,3204.800048828125,417.3999938964844,602.2899780273438,235.3699951171875
1992-01-08,3203.89990234375,418.1000061035156,610.3200073242188,236.1199951171875
1992-01-09,3209.5,417.6099853515625,619.7999877929688,236.39999389648438
1992-01-10,3199.5,415.1000061035156,615.7000122070312,234.97999572753906
1992-01-13,3185.60009765625,414.3399963378906,617.6300048828125,234.49000549316406
1992-01-14,3246.199951171875,420.44000244140625,625.75,237.74000549316406
1992-01-15,3258.5,420.7699890136719,630.8200073242188,238.39999389648438
1992-01-16,3249.60009765625,418.2099914550781,627.3400268554688,236.9499969482422
1992-01-17,3265.0,418.8599853515625,626.8499755859375,237.14999389648438
1992-01-20,3254.0,416.3599853515625,619.3800048828125,235.60000610351562
1992-01-21,3223.39990234375,412.6400146484375,604.8699951171875,233.1300048828125
1992-01-22,3255.800048828125,418.1300048828125,620.6799926757812,236.35000610351562
1992-01-23,3226.699951171875,414.9599914550781,622.8599853515625,235.16000366210938
1992-01-24,3232.800048828125,415.4800109863281,624.6799926757812,235.4600067138672
1992-01-27,3240.60009765625,414.989990234375,621.0,235.1199951171875
1992-01-28,3272.10009765625,414.9599914550781,621.2899780273438,235.13999938964844
1992-01-29,3225.0,410.3399963378906,616.3099975585938,232.80999755859375
1992-01-30,3244.89990234375,411.6199951171875,621.3699951171875,233.63999938964844
1992-01-31,3223.39990234375,408.7799987792969,620.2100219726562,232.4199981689453
1992-02-03,3234.10009765625,409.5299987792969,623.4299926757812,232.8800048828125
1992-02-04,3272.800048828125,413.8500061035156,631.0,235.27999877929688
1992-02-05,3257.60009765625,413.8399963378906,636.969970703125,235.66000366210938
1992-02-06,3255.60009765625,413.82000732421875,637.6699829101562,235.7100067138672
1992-02-07,3225.39990234375,411.0899963378906,634.9500122070312,234.27000427246094
1992-02-10,3245.10009765625,413.7699890136719,634.1300048828125,235.4600067138672
1992-02-11,3251.60009765625,413.760009765625,633.3699951171875,235.52999877929688
